Word	 SFI
accomplised	13.5
accomplish	50.6
accomplished	52.3
accomplishes	38.5
accomplishing	40.8
accomplishment	46.5
accomplishments	46.1
accord	45.9
accordance	46.3
accorded	41.4
accordian	11.5
accordians	20.8
according	60.5
accordingly	50.6
accordion	37.4
accordion-pleated	22.1
accordion-style	22.1
accordionist	22.1
accordng	22.1
accords	33.5
accost	27.7
accosted	32.3
accosting	22.1
account	58.3
account's	24.3
account-book	28.1
accountability	42.3
accountable	39.5
accountancy	22.1
accountant	42.8
accountant's	28.4
accountants	43.8
accountants'	22.1
accountatnts	22.1
accountbook	22.1
accounted	47.1
accounting	50
accounts	55
accoustical	11.5
accout	22.1
accouterments	29.3
accoutrements	22.1
accouunts	20.8
accpeted	20.8
accra	37
accredit	23.8
accreditation	16.2
accredited	34.5
accrediting	20.8
accreted	22.1
accreting	25.1
accretion	30
accretions	28.2
accretive	27.7
accrual	27.6
accruals	9.3
accrue	34.4
accrued	32.7
accruing	31.9
acculturated	20.8
acculturation	34.6
accumulate	47.2
accumulated	48.1
accumulates	41.5
accumulating	41.6
accumulation	46.5
accumulations	37.6
accumulative	18.1
accumulator	34.2
accumulators	30.1
accumultes	18.1
accuracies	11.5
accuracy	50.9
accurate	55.4
accurately	52.1
accursed	35.3
accusation	41.4
accusations	39.9
accusative	25.1
accusatory	22.1
accuse	39.7
accused	51.3
accused's	25.1
accuser	25.5
accusers	37.8
accuses	20.8
accusing	40.3
accusingly	32.7
accustom	37.2
accustomed	51.3
accustoming	20.8
accustoms	20.8
accute	18.1
acd	22.1
acd-acb	22.1
ace	40.6
ace-bandaged	22.1
acellular	18.1
acephalous	25.5
aces	30.4
acetal	18.1
acetaldehyde	29
acetate	43
acetate-shantung	22.1
acetates	9.3
aceti	18.1
acetic	36.4
acetone	36.7
acetycholinesterase	18.1
acetyl	24.2
acetylcholine	37.4
acetylcholinesterase	29.1
acetylene	37.3
acetylsalicylic	18.1
acetylsalicylic-acid	22.1
ach	33.7
achaean	30.4
achaeans	36
achaeminids	20.8
achates	22.1
ache	45.7
achebe	29.3
achebe's	22.1
ached	45.5
achelous	29.3
acheron	22.1
achers	20.8
aches	40.9
acheson	25.5
acheson's	20.8
acheta	18.1
acheulian	18.1
achi	22.1
achieve	54.5
achieved	53.5
achievement	51.2
achievement-oriented	22.1
achievement-related	25.5
achievements	49.4
achiever	28.2
achievers	35.5
achieves	39.2
achieving	46.9
achilles	43.6
achilles'	29.8
achim	22.1
achimota	22.1
aching	45.2
achingly	22.1
achlus	22.1
achmed	32.6
achmet	27.7
achmet's	27.7
achomawi	28.1
achote	22.1
achren	33.9
achren's	29.9
achtung	26.9
achy	22.1
acid	56
acid-ash	13.2
acid-base	36.8
acid-loving	18.1
acid-producer	22.1
acid-reacting	9.3
acid-rock	22.1
acid-test	13.5
acid-tipped	22.1
acid-tongued	20.8
acid-washed	18.1
acide	18.1
acidic	43.5
acidification	26.8
acidified	25.5
acidify	16.2
acidities	22.1
acidity	37.7
acidly	28.1
acidophilic	18.1
acidosis	33.1
acidotic	22.1
acids	53.9
acie	22.1
acies	22.1
acini	18.1
acitivity	21.1
acitve	22.1
ack	26.9
ack-ack	22.1
acker	22.1
ackerman	30.6
ackley	31.2
acknowledge	45
acknowledged	46.8
acknowledgement	37.2
acknowledges	33.8
acknowledging	40.1
acknowledgment	37.1
acknowledgments	29.3
ackoom	25.1
acm	21.1
acmaea	18.1
acme	29.6
acne	37.4
acocunt	13.5
acoela	29.1
acolescence	20.8
acolus	26.9
acolyte	25.1
acolytes	25.1
acoma	31.6
acomplishments	20.8
aconcaqua	20.8
aconite	22.1
acorn	42.5
acorns	45.7
acorns'	18.1
acos	26.9
acospores	18.1
acosta	39.3
acosta's	29.9
acostas	25.1
acostas'	25.1
acount	13.5
acoustic	36.2
acoustic-tile	12.4
acoustical	33.3
acoustically	30.8
acoustics	33
acoutrements	20.8
acquaint	37.3
acquaintanaces	20.8
acquaintance	45.9
acquaintance's	13.2
acquaintances	42.9
acquaintanceship	31.6
acquaintanceships	9.3
acquaintd	22.1
acquainted	48.9
acquainting	32.4
acquaints	27
acquianted	13.5
acquiesce	27.8
acquiesced	34
acquiescence	34.2
acquiescent	27.4
acquiescing	22.1
acquire	50.7
acquired	53.3
acquirement	25.1
acquires	41.1
acquiring	45.4
acquisition	44.6
acquisitions	29.4
acquisitive	31.3
acquisitiveness	20.8
acquistion	22.1
acquit	22.1
acquitaine	20.8
acquittal	27.4
acquitted	37.3
acquitting	22.1
acrasin	22.1
acre	49.5
acre-inch	11.5
acre-piece	26.9
acreage	38.8
acreages	27.4
acres	53.4
acrid	33.6
acrid-smelling	22.1
acrid-tasting	22.1
acrimonious	23.8
acrisios	28.1
acrisius	33.6
acrobat	39.2
acrobatic	33.7
acrobatics	31.4
acrobats	37.7
acrobats'	22.1
acromion	13.2
acronym	33.7
acronyms	25.1
acrophobe	22.1
acropolis	39.7
acropolis'	22.1
across	65.5
across-the-board	13.5
acrost	29.3
acrux	22.1
acrylic	40
acrylics	28.4
act	61.9
act's	27.4
actaeon	22.1
acted	53.9
acted-out	22.1
acteon	28.1
actin	25.1
actin'	22.1
acting	55.2
acting-out	20.8
actings	22.1
actinic	14.5
actinium	22.1
actinopterygian	18.1
action	61.5
action's	22.1
action-adventure	22.1
action-at-a	18.1
action-at-a-distance	24.2
action-flashing	26.9
action-forcing	18.1
action-line	9.3
action-oriented	25.4
action-packed	29.3
action-reaction	18.1
action-related	20.8
action-specific	18.1
actions	56.9
actium	20.8
activate	39.1
activated	43.5
activated-sludge	21.1
activates	35.4
activating	24.8
activation	38.8
activator	29
active	57.5
active-voice	22.1
actively	49.3
activies	18
activiies	20.8
activiites	30.5
activism	37.5
activist	37.4
activists	39.6
activists'	20.8
activites	31.8
activities	60.2
activitis	20.8
activitists	20.8
activitiy	20.8
activity	58.7
activity's	20.8
acton	30.3
actons	22.1
actor	47.5
actor's	33
actor-action	22.1
actor-manager	22.1
actor-managers	22.1
actor-playwright	22.1
actors	48.8
actors'	32.5
actos	22.1
actress	41.2
actresses	38.1
acts	56.8
actual	56.3
actualities	30.4
actuality	37.3
actualization	20.8
actualize	20.8
actualizing	20.8
actuall	20.8
actually	60.8
actualy	27.7
actuarially	27.7
actuate	28.2
actuated	32.1
actuates	24.8
actuating	27.8
actuation	11.5
actuator	22
actuators	16.3
actvities	13.5
actyve	25.1
acuity	29.7
acumen	27.7
acupuncture	35.3
acupuncturist	20.8
acushnet	22.1
acutal	22.1
acutally	22.1
acutance	6.5
acute	46.8
acute-illness	22.1
acutely	40.7
acuteness	33.2
acutes	28.1
acutest	22.1
acyl	21.1
ad	49.9
ad-ag	16.5
ad-man's	18.1
ada	45.6
ada's	36
adademy	22.1
adage	33.3
adages	26.7
adagio	27.7
adair	34.6
adair's	29.3
adairsville	25.1
adalgisa	22.1
adali-mortty	22.1
adam	52.8
adam's	43.2
adamant	35.1
adamantine	23.8
adamantly	31.2
adamic	25.1
adamo	22.1
adams	52.7
adams'	37.2
adams's	30.4
adams-onis	20.8
adamses	28.8
adamsfield	22.1
adamski	22.1
adamson	31.1
adamsons	22.1
adamstown	25.5
adamsville	28.1
adan	37.9
adan's	33.9
adaon	33.3
adaon's	28.1
adapatation	27.4
adapation	24.9
adapt	49.9
adaptability	40
adaptable	42.5
adaptation	48.6
adaptational	20.8
adaptations	46.1
adaptative	13.2
adapted	52.5
adapter	29.3
adapters	11.5
adapting	42.9
adaptive	43.2
adaptively	28.8
adaptor	16.3
adapts	38.6
adar	25.1
adaucta	22.1
adauctus	25.1
add	58.5
add-ons	20.8
adda	9.3
addabbo	23.8
addams	38.3
addams's	22.1
addax	22.1
adde	20.8
added	61.4
adder	32.9
adder's	22.1
adders	22.1
adderson	22.1
addey	25.1
addict	38.3
addict's	28.8
addicted	39.2
addicting	33.5
addiction	44.1
addictions	23.8
addictive	38.5
addicts	42.3
addie	35.3
addin'	22.1
adding	54.4
adding-listing	13.5
adding-up	20.8
addington	27.7
addis	34.6
addison	38.3
addison's	27.4
addisons	25.1
additioanl	23.8
addition	60
additional	56.8
additionally	39.9
additionaly	20.8
additions	44
additive	37.5
additives	43.4
addle-brained	22.1
addled	31.6
addlestone	22.1
address	55.2
addressability	13.5
addressed	49.7
addressee	33.2
addressee's	19.5
addressees	16.5
addresses	46.9
addressing	46.1
addressograph	13.5
adds	50.7
adduce	22.1
adduct	26.6
adducted	18.1
adduction	13.2
adductor	22.9
ade	22.1
adeimantus	26.8
adela	33.1
adelaide	32.2
adelante	22.1
adelard	20.8
adele	34.1
adele's	26.9
adelia	22.1
adeline	35.2
adeline's	22.1
adelphi	25.1
adelson	23.8
aden	38.5
adena	34.4
adenauer	31.2
adenauer's	20.8
adenine	26.6
adenohypophysis	18.1
adenoids	26.8
adenosine	29.7
adenville	38.1
adept	40.4
adeptly	22.1
adepts	27.7
adequacy	38.6
adequate	53.5
adequately	46.8
ader	22.1
adet	22.1
adhem	22.1
adhere	44.4
adhered	38.5
adherence	41.7
adherent	28.8
adherents	38.2
adheres	35.6
adhering	38.6
adhesion	36.9
adhesions	13.2
adhesive	44.6
adhesive-faced	11.5
adhesively	25.1
adhesiveness	26.8
adhesives	36.6
adi	29.1
adiabatic	21.1
adidas	22.1
adiel	31.2
adieu	34.7
adieux	25.1
adios	29.7
adipic	18.1
adipocytes	20.8
adipose	32.2
adiri	22.1
adirondack	39.1
adirondacks	37.2
adit	28.1
adivino	22.1
adjacent	47.6
adjective	48.2
adjective-adverb	22.1
adjectives	47.2
adjmers	20.8
adjoin	22.1
adjoined	30.6
adjoining	44.8
adjoins	20.8
adjourn	33.3
adjourned	34.9
adjourning	25.5
adjournment	34.1
adjournments	22.1
adjourns	25.1
adjudged	27.4
adjudicated	28.2
adjudication	25.5
adjudicative	20.8
adjunct	34.6
adjunctive	22.1
adjuncts	27.4
adjuration	22.1
adjure	22.1
adjuring	22.1
adjust	51.7
adjustability	11.5
adjustable	42.1
adjustable-length	3.5
adjustable-round-split	11.5
adjusted	50.4
adjuster	38.4
adjusters	16.3
adjusting	49.4
adjustive	20.8
adjustment	51
adjustments	50.5
adjustor	22.1
adjusts	39.7
adjutant	36
adjutants	22.1
adkins	25.1
adkins's	25.1
adlai	37.5
adler	33
adler's	22.1
adless	11.5
adlon	22.1
adman	20.8
admeasured	22.1
admeta	22.1
admetus	35.8
admininstration	9.3
administation	20.8
administer	45.4
administered	47.4
administering	41.2
administers	36.1
administraive	20.8
administration	55.1
administration's	38.9
administrations	36.8
administrative	49.4
administratively	29.7
administratix	13.5
administrator	45.6
administrator's	20.8
administrators	47.4
administrators'	22.1
administratrix	16.5
administred	22.1
adminsitered	22.1
adminsitration	25.4
adminstration	27.4
adminstrations	20.8
admirable	42.3
admirably	38
admiral	48.2
admiral's	34.2
admirals	36.8
admiralty	37.3
admiralty-type	22.1
admiration	48.5
admire	48.6
admired	51.2
admirer	39.9
admirers	40.2
admires	36.8
admiring	45.6
admiringly	36.9
admissibility	20.8
admissible	28.9
admission	48.2
admissions	39.7
admit	53.2
admited	22.1
admits	38.2
admittance	35
admitted	52.8
admittedly	38.7
admitting	42.5
admixed	22.1
admixing	13.2
admixture	22.1
admixtures	11.5
admonish	33.8
admonished	36.4
admonishes	20.8
admonishing	27.4
admonishingly	22.1
admonishment	22.1
admonition	37.9
admonitions	31.5
admonitory	26.9
adn	32.4
adnan	23.8
ado	34.1
adobe	45.9
adobe-walled	22.1
adobes	22.1
adobies	20.8
adodarho	22.1
adolescence	48.5
adolescent	47.7
adolescent's	37.3
adolescent-to-family	20.8
adolescents	47.6
adolescents'	30.3
adolf	41.8
adolfo	30.4
adolph	32.4
adolphe	22.1
adolphus	26.9
adonis	32.3
adopt	50
adopt-a-weed	22.1
adoptable	22.1
adopted	54.3
adoptee	22.1
adoptees	28.1
adopting	43.9
adoption	46.3
adoptions	9.3
adoptive	37.9
adopts	32.4
adorable	37.4
adoration	36.2
adore	35.4
adored	39.9
adores	33.1
adoring	35.4
adoringly	25.1
adorn	36.1
adorned	42.4
adorning	29.5
adornment	31.5
adornments	30.4
adorno	23.8
adorns	25.1
adoul	20.8
adoula	22.1
adown	22.1
adpated	22.1
adrenal	41.8
adrenal-pituitary	22.1
adrenalin	36.8
adrenaline	36
adrenals	18
adrenergic	18.1
adrenin	18.1
adrenocorticotrophic	13.2
adrenocorticotropic	18.1
adress	22.1
adriaen	20.8
adrian	33.5
adriana	22.1
adrianople	31.2
adrianopolis	22.1
adriataic	22.1
adriatic	38.7
adrien	20.8
adrift	38.2
adroit	32.4
adroitly	30.4
adroitness	22.1
adroscoggin	20.8
ads	49.7
adson	23.8
adsorb	22.9
adsorbed	33.2
adsorbent	22.9
adsorbing	24.2
adsorbs	18.1
adsorption	28.5
adulation	31.5
adult	56.8
adult's	36.9
adult-education	27.4
adult-onset	25.1
adult-sounding	22.1
adulterants	22.1
adulterated	26.9
adulteration	26.9
adulterer	22.1
adulteress	27.7
adulteries	25.1
adultery	36.9
adulthood	46.8
adultless	9.3
adults	55.1
adults'	29.7
adust	11.5
aduwa	22.1
advance	54.7
advance-guard	25.1
advanced	55.2
advancement	47.7
advancement-level	13.5
advancements	37.9
advances	50.4
advancing	47.6
advancing-receding	3.5
advantage	56.7
advantageous	43.4
advantageously	30
advantages	53.5
advantange	18.1
advection	22.1
advent	44.2
adventist	28.8
adventiste	20.8
adventists	20.8
adventitia	18.1
adventitious	33.2
adventure	53.3
adventure-loving	20.8
adventure-seeking	22.1
adventurer	40.1
adventurers	42.9
adventures	51.4
adventuresome	31.6
adventuress	22.1
adventuring	32.1
adventurism	20.8
adventurous	42.7
adventurous-spirited	22.1
adventurously	22.1
adventurousness	23.8
adver-tize-ment	22.1
adverb	44.7
adverb-verb-subject	22.1
adverbs	44.2
adveritsing	13.5
adversarial	28.8
adversaries	39.3
adversary	41.7
adversary's	30.4
adverse	41.2
adversely	38.4
adverser	22.1
adversitie	20.8
adversities	28.8
adversity	35.8
advert	30.4
adverted	25.1
advertise	45.4
advertised	47.3
advertisement	48.2
advertisement's	13.2
advertisements	50.1
advertiser	39.2
advertiser's	16.5
advertisers	43.6
advertises	34.5
advertisin'	22.1
advertising	55.1
advertising-men	22.1
adverts	22.1
advice	54.7
advice-	20.8
advices	22.1
advisability	31.9
advisable	43.9
advise	48.2
advised	49.4
advisedly	13.2
adviser	43.3
advisers	46.4
advisers'	20.8
advises	41
advising	41.1
advisor	41.2
advisors	42.4
advisory	41.6
advocacy	33.3
advocate	45.7
advocate's	22.1
