WORD	IMAG
dozen	525
drab	340
drain	540
drama	482
drape	464
draw	435
dread	378
dream	485
dreamer	507
dreary	463
dress	595
dresser	556
drill	571
drink	553
driver	567
drizzle	582
drop	417
dropper	433
drove	353
drug	564
drum	599
drunkard	527
dry	429
dryad	251
dual	426
duchess	525
duck	632
duel	494
duke	480
dull	373
dullness	383
dumb	397
dummy	562
dump	528
dungeon	579
dunghill	475
dusk	575
dust	549
dusty	506
duty	346
dweller	448
dwelling	534
dye	506
dynamic	387
dynasty	386
each	320
eager	401
eagle	601
ear	597
earl	435
early	376
earn	437
earth	580
earthworm	569
ease	327
easel	532
east	497
easy	321
easygoing	402
eat	563
eating	536
eaves	491
eccentric	380
eccentricity	401
echo	556
economy	357
edge	495
edict	297
edifice	474
edition	373
education	416
educator	370
eel	552
eerie	423
effect	280
efficient	334
effort	367
egg	599
ego	334
egotistical	380
egress	251
eight	501
elaboration	325
elbow	602
election	435
electricity	486
elegant	408
elephant	616
elf	543
elimination	375
elm	550
elopement	453
else	208
emanation	270
emancipation	364
embellishment	275
embezzlement	355
embrace	597
emerald	602
emergence	387
emergency	487
emission	416
emotion	478
emotional	453
emperor	502
emphatic	307
empire	470
employment	435
emporium	336
empty	479
emulsion	451
enamel	451
encephalon	277
enchanter	378
encore	419
encounter	370
end	462
endeavour	310
endosperm	324
enemy	497
energetic	422
engagement	474
engine	595
engineer	495
enigma	259
enlightenment	335
enough	345
ensemble	419
entering	390
enterprise	319
enterprising	307
entertain	435
enthusiasm	464
enthusiastic	404
entire	310
entrance	493
entree	413
entry	356
enunciation	216
envelope	554
envious	361
envy	375
epicure	280
episode	370
epistle	437
epitaph	418
equal	321
equality	346
equanimity	153
equipment	410
equity	281
errand	440
error	408
erupt	460
escape	459
essay	564
essence	289
essential	268
establishment	389
estate	474
estimate	305
eternal	403
eternity	399
ether	436
ethical	278
etiquette	388
evacuation	405
evaluate	340
evangelist	456
even	338
evening	559
event	334
ever	273
evergreen	554
every	267
evidence	356
evil	434
evolution	402
ewe	481
exact	288
exacting	295
exactitude	298
